Name,Address,Municipality,Telephone,Email,Web,Type
Piscina Olimpionica,Loc. Prabi,Arco,0464/517000,,www.visitarco.it,Struttura sportiva
Centro sportivo Pomerio- Campi da calcio e pista di atletica leggera,Via Pomerio n.7,Arco,0464/516181,,,Struttura sportiva
Stadio di Arrampicata,Loc. Prabi,Arco,,,,Struttura sportiva
Campo Ricreativo di S.Giorgio - Loc. S.Giorgio,Via Cavallo n.1,Arco,,,,
Centro Campi da Tennis,Loc. Pomerio n.11,Arco,0464/516824,,,Struttura sportiva
Campo Sportivo Oltresarca - Loc. Bolognano,Loc. Gambor,Arco,346/1196233 (Sig. Massimo Baldessarini - Presidente S.S. Stivo),,,Struttura sportiva
Campo Sportivo di Romarzollo,Via Fossa n. 14/b,Arco,0464/519648,,,Struttura sportiva
